Id;teamName;Name;jersey;Fixture;Date (US Eastern);Time (US Eastern);Home Team;Home Goal;Away Goal;Away Team;Clock;substitution;yellowCard;redCard;scoringPlay;didAssist;didScore;penaltyKick;ownGoal;homeAway;UpdateTime
779;Qatar;Saad Al-Sheeb;1;Ecuador at Qatar;2022-11-20;11:00:00 AM;Qatar;0;2;Ecuador;15';;yellowCard;;;;;;;home;2022-12-20T12:08:59Z
826;Ecuador;Enner Valencia;13;Ecuador at Qatar;2022-11-20;11:00:00 AM;Qatar;0;2;Ecuador;16';;;;scoringPlay;;didScore;penaltyKick;;away;2022-12-20T12:08:59Z
800;Qatar;Almoez Ali;19;Ecuador at Qatar;2022-11-20;11:00:00 AM;Qatar;0;2;Ecuador;22';;yellowCard;;;;;;;home;2022-12-20T12:08:59Z
825;Ecuador;Moisés Caicedo;23;Ecuador at Qatar;2022-11-20;11:00:00 AM;Qatar;0;2;Ecuador;29';;yellowCard;;;;;;;away;2022-12-20T12:08:59Z
812;Ecuador;Angelo Preciado;17;Ecuador at Qatar;2022-11-20;11:00:00 AM;Qatar;0;2;Ecuador;31';;;;scoringPlay;didAssist;;;;away;2022-12-20T12:08:59Z
826;Ecuador;Enner Valencia;13;Ecuador at Qatar;2022-11-20;11:00:00 AM;Qatar;0;2;Ecuador;31';;;;scoringPlay;;  ;;;away;2022-12-20T12:08:59Z
792;Qatar;Karim Boudiaf;12;Ecuador at Qatar;2022-11-20;11:00:00 AM;Qatar;0;2;Ecuador;36';;yellowCard;;;;;;;home;2022-12-20T12:08:59Z
820;Ecuador;Jhegson Méndez;20;Ecuador at Qatar;2022-11-20;11:00:00 AM;Qatar;0;2;Ecuador;56';;yellowCard;;;;;;;away;2022-12-20T12:08:59Z
830;Ecuador;Jeremy Sarmiento;16;Ecuador at Qatar;2022-11-20;11:00:00 AM;Qatar;0;2;Ecuador;68';substitution;;;;;;;;away;2022-12-20T12:08:59Z
818;Ecuador;Romario Ibarra;10;Ecuador at Qatar;2022-11-20;11:00:00 AM;Qatar;0;2;Ecuador;68';substitution;;;;;;;;away;2022-12-20T12:08:59Z
802;Qatar;Hassan Al-Haydos;10;Ecuador at Qatar;2022-11-20;11:00:00 AM;Qatar;0;2;Ecuador;71';substitution;;;;;;;;home;2022-12-20T12:08:59Z
796;Qatar;Mohammed Waad;4;Ecuador at Qatar;2022-11-20;11:00:00 AM;Qatar;0;2;Ecuador;71';substitution;;;;;;;;home;2022-12-20T12:08:59Z
800;Qatar;Almoez Ali;19;Ecuador at Qatar;2022-11-20;11:00:00 AM;Qatar;0;2;Ecuador;72';substitution;;;;;;;;home;2022-12-20T12:08:59Z
799;Qatar;Mohammed Muntari;9;Ecuador at Qatar;2022-11-20;11:00:00 AM;Qatar;0;2;Ecuador;72';substitution;;;;;;;;home;2022-12-20T12:08:59Z
826;Ecuador;Enner Valencia;13;Ecuador at Qatar;2022-11-20;11:00:00 AM;Qatar;0;2;Ecuador;77';substitution;;;;;;;;away;2022-12-20T12:08:59Z
821;Ecuador;José Cifuentes;5;Ecuador at Qatar;2022-11-20;11:00:00 AM;Qatar;0;2;Ecuador;77';substitution;;;;;;;;away;2022-12-20T12:08:59Z
801;Qatar;Akram Afif;11;Ecuador at Qatar;2022-11-20;11:00:00 AM;Qatar;0;2;Ecuador;78';;yellowCard;;;;;;;home;2022-12-20T12:08:59Z
822;Ecuador;Alan Franco;21;Ecuador at Qatar;2022-11-20;11:00:00 AM;Qatar;0;2;Ecuador;90';substitution;;;;;;;;away;2022-12-20T12:08:59Z
824;Ecuador;Kevin Rodríguez;26;Ecuador at Qatar;2022-11-20;11:00:00 AM;Qatar;0;2;Ecuador;90';substitution;;;;;;;;away;2022-12-20T12:08:59Z
825;Ecuador;Moisés Caicedo;23;Ecuador at Qatar;2022-11-20;11:00:00 AM;Qatar;0;2;Ecuador;90';substitution;;;;;;;;away;2022-12-20T12:08:59Z
828;Ecuador;Michael Estrada;11;Ecuador at Qatar;2022-11-20;11:00:00 AM;Qatar;0;2;Ecuador;90';substitution;;;;;;;;away;2022-12-20T12:08:59Z
1;Iran;Hossein Hosseini;24;Iran at England;2022-11-21;8:00:00 AM;England;6;2;Iran;20';substitution;;;;;;;;away;2022-12-20T12:08:59Z
2;Iran;Alireza Beiranvand;1;Iran at England;2022-11-21;8:00:00 AM;England;6;2;Iran;20';substitution;;;;;;;;away;2022-12-20T12:08:59Z
15;Iran;Alireza Jahanbakhsh;7;Iran at England;2022-11-21;8:00:00 AM;England;6;2;Iran;25';;yellowCard;;;;;;;away;2022-12-20T12:08:59Z
35;England;Luke Shaw;3;Iran at England;2022-11-21;8:00:00 AM;England;6;2;Iran;35';;;;scoringPlay;didAssist;;;;home;2022-12-20T12:08:59Z
