#,POS,PLAYER NAME,FIRST NAME,LAST NAME,SHIRT NAME,TEAM
1,GK,ARMANI Franco,Franco,ARMANI,ARMANI,Argentina ARG
2,DF,FOYTH Juan,Juan Marcos,FOYTH,FOYTH,Argentina ARG
3,DF,TAGLIAFICO Nicolas,Nicolás Alejandro,TAGLIAFICO,TAGLIAFICO,Argentina ARG
4,DF,MONTIEL Gonzalo,Gonzalo Ariel,MONTIEL,MONTIEL,Argentina ARG
5,MF,PAREDES Leandro,Leandro Daniel,PAREDES,PAREDES,Argentina ARG
6,DF,PEZZELLA German,Germán Alejo,PEZZELLA,PEZZELLA,Argentina ARG
7,MF,DE PAUL Rodrigo,Rodrigo Javier,DE PAUL,DE PAUL,Argentina ARG
8,MF,ACUNA Marcos,Marcos Javier,ACU?A,ACU?A,Argentina ARG
9,FW,ALVAREZ Julian,Julian,ALVAREZ,J. ALVAREZ,Argentina ARG
10,FW,MESSI Lionel,Lionel Andres,MESSI,MESSI,Argentina ARG
11,FW,DI MARIA Angel,Angel Fabian,DI MARIA,DI MARIA,Argentina ARG
12,GK,RULLI Geronimo,Geronimo,RULLI,RULLI,Argentina ARG
13,DF,ROMERO Cristian,Cristian Gabriel,ROMERO,ROMERO,Argentina ARG
14,MF,PALACIOS Exequiel,Exequiel Alejandro,PALACIOS,PALACIOS,Argentina ARG
15,FW,CORREA Angel,Angel Martin,CORREA,A. CORREA,Argentina ARG
16,MF,ALMADA Thiago,Thiago Ezequiel,ALMADA,ALMADA,Argentina ARG
17,MF,GOMEZ Alejandro,Alejandro Dario,GÓMEZ,GÓMEZ,Argentina ARG
18,MF,RODRIGUEZ Guido,Guido,RODRIGUEZ,G. RODRIGUEZ,Argentina ARG
19,DF,OTAMENDI Nicolas,Nicolas Hernan Gonzalo,OTAMENDI,OTAMENDI,Argentina ARG
20,MF,MAC ALLISTER Alexis,Alexis,MAC ALLISTER,MAC ALLISTER,Argentina ARG
21,FW,DYBALA Paulo,Paulo Exequiel,DYBALA,DYBALA,Argentina ARG
22,FW,MARTINEZ Lautaro,Lautaro Javier,MARTÍNEZ,L. MARTÍNEZ,Argentina ARG
23,GK,MARTINEZ Emiliano,Damián Emiliano,MARTÍNEZ,E. MARTÍNEZ,Argentina ARG
24,MF,FERNANDEZ Enzo,Enzo Jeremías,FERNÁNDEZ,E. FERNÁNDEZ,Argentina ARG
25,DF,MARTINEZ Lisandro,Lisandro,MARTÍNEZ,MARTÍNEZ,Argentina ARG
26,DF,MOLINA Nahuel,Nahuel,MOLINA LUCERO,MOLINA,Argentina ARG
1,GK,RYAN Mathew,Mathew David,RYAN,RYAN,Australia AUS
2,DF,DEGENEK Milos,Milos,DEGENEK,DEGENEK,Australia AUS
3,DF,ATKINSON Nathaniel,Nathaniel Caleb,ATKINSON,ATKINSON,Australia AUS
4,DF,ROWLES Kye,Kye Francis,ROWLES,ROWLES,Australia AUS
5,DF,KARACIC Fran,Fran,KARACIC,KARACIC,Australia AUS
6,FW,TILIO Marco,Marco,TILIO,TILIO,Australia AUS
7,FW,LECKIE Mathew,Mathew Allan,LECKIE,LECKIE,Australia AUS
8,DF,WRIGHT Bailey,Bailey Colin,WRIGHT,WRIGHT,Australia AUS
9,FW,MACLAREN Jamie,Jamie,MACLAREN,MACLAREN,Australia AUS
10,MF,HRUSTIC Ajdin,Ajdin,HRUSTIC,HRUSTIC,Australia AUS
11,FW,MABIL Awer,Awer Bul,MABIL,MABIL,Australia AUS
12,GK,REDMAYNE Andrew,Andrew James,REDMAYNE,REDMAYNE,Australia AUS
13,MF,MOOY Aaron,Aaron Frank,MOOY,MOOY,Australia AUS
14,MF,McGREE Riley,Riley Patrick,MCGREE,MCGREE,Australia AUS
15,FW,DUKE Mitchell,Mitchell Thomas,DUKE,DUKE,Australia AUS
16,DF,BEHICH Aziz,Aziz,BEHICH,BEHICH,Australia AUS
17,MF,DEVLIN Cameron,Cameron Peter,DEVLIN,DEVLIN,Australia AUS
18,GK,VUKOVIC Danny,Daniel,VUKOVIC,VUKOVIC,Australia AUS
19,DF,SOUTTAR Harry,Harry James,SOUTTAR,SOUTTAR,Australia AUS
20,DF,DENG Thomas,Thomas Jok,DENG,DENG,Australia AUS
21,FW,KUOL Garang,Garang,MAWIEN KUOL,KUOL,Australia AUS
22,MF,IRVINE Jackson,Jackson Alexander,IRVINE,IRVINE,Australia AUS
